----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
     BatchNorm2d-121            [-1, 256, 4, 4]             512
            ReLU-122            [-1, 256, 4, 4]               0
          Conv2d-123            [-1, 128, 4, 4]          32,768
     BatchNorm2d-124            [-1, 128, 4, 4]             256
            ReLU-125            [-1, 128, 4, 4]               0
          Conv2d-126             [-1, 32, 4, 4]          36,864
     BatchNorm2d-127            [-1, 288, 4, 4]             576
            ReLU-128            [-1, 288, 4, 4]               0
          Conv2d-129            [-1, 128, 4, 4]          36,864
     BatchNorm2d-130            [-1, 128, 4, 4]             256
            ReLU-131            [-1, 128, 4, 4]               0
          Conv2d-132             [-1, 32, 4, 4]          36,864
     BatchNorm2d-133            [-1, 320, 4, 4]             640
            ReLU-134            [-1, 320, 4, 4]               0
          Conv2d-135            [-1, 128, 4, 4]          40,960
     BatchNorm2d-136            [-1, 128, 4, 4]             256
            ReLU-137            [-1, 128, 4, 4]               0
          Conv2d-138             [-1, 32, 4, 4]          36,864
     BatchNorm2d-139            [-1, 352, 4, 4]             704
            ReLU-140            [-1, 352, 4, 4]               0
          Conv2d-141            [-1, 128, 4, 4]          45,056
     BatchNorm2d-142            [-1, 128, 4, 4]             256
            ReLU-143            [-1, 128, 4, 4]               0
          Conv2d-144             [-1, 32, 4, 4]          36,864
     BatchNorm2d-145            [-1, 384, 4, 4]             768
            ReLU-146            [-1, 384, 4, 4]               0
          Conv2d-147            [-1, 128, 4, 4]          49,152
     BatchNorm2d-148            [-1, 128, 4, 4]             256
            ReLU-149            [-1, 128, 4, 4]               0
          Conv2d-150             [-1, 32, 4, 4]          36,864
     BatchNorm2d-151            [-1, 416, 4, 4]             832
            ReLU-152            [-1, 416, 4, 4]               0
          Conv2d-153            [-1, 128, 4, 4]          53,248
     BatchNorm2d-154            [-1, 128, 4, 4]             256
            ReLU-155            [-1, 128, 4, 4]               0
          Conv2d-156             [-1, 32, 4, 4]          36,864
     BatchNorm2d-157            [-1, 448, 4, 4]             896
            ReLU-158            [-1, 448, 4, 4]               0
          Conv2d-159            [-1, 128, 4, 4]          57,344
     BatchNorm2d-160            [-1, 128, 4, 4]             256
            ReLU-161            [-1, 128, 4, 4]               0
          Conv2d-162             [-1, 32, 4, 4]          36,864
     BatchNorm2d-163            [-1, 480, 4, 4]             960
            ReLU-164            [-1, 480, 4, 4]               0
          Conv2d-165            [-1, 128, 4, 4]          61,440
     BatchNorm2d-166            [-1, 128, 4, 4]             256
            ReLU-167            [-1, 128, 4, 4]               0
          Conv2d-168             [-1, 32, 4, 4]          36,864
     BatchNorm2d-169            [-1, 512, 4, 4]           1,024
            ReLU-170            [-1, 512, 4, 4]               0
          Conv2d-171            [-1, 128, 4, 4]          65,536
     BatchNorm2d-172            [-1, 128, 4, 4]             256
            ReLU-173            [-1, 128, 4, 4]               0
          Conv2d-174             [-1, 32, 4, 4]          36,864
     BatchNorm2d-175            [-1, 544, 4, 4]           1,088
            ReLU-176            [-1, 544, 4, 4]               0
          Conv2d-177            [-1, 128, 4, 4]          69,632
     BatchNorm2d-178            [-1, 128, 4, 4]             256
            ReLU-179            [-1, 128, 4, 4]               0
          Conv2d-180             [-1, 32, 4, 4]          36,864
     BatchNorm2d-181            [-1, 576, 4, 4]           1,152
            ReLU-182            [-1, 576, 4, 4]               0
          Conv2d-183            [-1, 128, 4, 4]          73,728
     BatchNorm2d-184            [-1, 128, 4, 4]             256
            ReLU-185            [-1, 128, 4, 4]               0
